doc_id,title,category,url,source,crawl_depth,word_count,content_hash
DOC0001,Information retrieval - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Information_retrieval,en.wikipedia.org,0,6111,d11013f84e4629236818fc939076ae0b5fe5a71dd65cb712da01761b7ee48413
DOC0002,Machine learning - Wikipedia,Machine Learning,https://en.wikipedia.org/wiki/Machine_learning,en.wikipedia.org,0,20155,0d6f39aae86736b05f262f6ef0c71404f10b34f5fe0388f739aecfe594848567
DOC0003,Artificial intelligence - Wikipedia,Artificial Intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence,en.wikipedia.org,0,36056,9c1df9083bb87aaad3929a5ee90e80f4e4baf07705dd084a0a56868bfea2eea6
DOC0004,Natural language processing - Wikipedia,Natural Language Processing,https://en.wikipedia.org/wiki/Natural_language_processing,en.wikipedia.org,0,8235,1c7f38e385b79383f0587f9a7e3c31c62fe63001a97e2cbf332f86e981e0cdb6
DOC0005,Data mining - Wikipedia,Data Mining,https://en.wikipedia.org/wiki/Data_mining,en.wikipedia.org,0,7045,0c06f0a9d56c1535495b4c8cec614474dae2fb819a253bf6439d731aa075ee59
DOC0006,Special Interest Group on Information Retrieval - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Special_Interest_Group_on_Information_Retrieval,en.wikipedia.org,1,1773,8b638ecb7f3e988c2109bce458e763eab73f81f85f16ff94868f5df35e3c8ace
DOC0007,Book sources - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Special:BookSources/978-0-521-86571-5,en.wikipedia.org,1,7609,9de9edc95c7227b3533588497449caf1eed58412fbadfe28b7cdcfa264299af8
DOC0008,PubMed Central - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/PMC_(identifier),en.wikipedia.org,1,4447,34a266cd8af5317b7fa9296f61efe535402d9d2bb5bd3e4c0b244b2e8b9b16ad
DOC0009,Allen Kent - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Allen_Kent,en.wikipedia.org,1,1006,71a5b4b4de761a8eeaf5e5474c425dd6d3f0e111adbcd0578df9462cac22ddb6
DOC0010,File:Commons-logo.svg - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/File:Commons-logo.svg,en.wikipedia.org,1,933,58da625df0798831c896226200383eea443015a43345a1164a8585836f8b39c8
DOC0011,Massachusetts Institute of Technology - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/MIT,en.wikipedia.org,1,26392,b603b29b337ae7a4ef904b9a45eea0980bf3e2965111d4c5802b1c997821b006
DOC0012,Book sources - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Special:BookSources/978-963-9799-76-9,en.wikipedia.org,1,7609,f7eaa9ba20685fc967cc9a4106f501a2e2d90dfc2c5feecffbb671e1c0d7f263
DOC0013,Herman Hollerith - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Herman_Hollerith,en.wikipedia.org,1,2890,de5b5eea847f6441fc301fea15ba90fad04602244d6e5a1cfaa6e1f9d3864199
DOC0014,Category:Articles with excerpts - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Category:Articles_with_excerpts,en.wikipedia.org,1,1187,299d283220bdf67204d56e76c84709e25fe2488ba6b57ced7c14f00169579de5
DOC0015,Learned sparse retrieval - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/SPLADE,en.wikipedia.org,1,1397,3a02f558b1b3592d00ca7ed455b4b83fc4792f418ee85afb0938c2b9d57c8d0a
DOC0016,Terrier (search engine) - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Terrier_Search_Engine,en.wikipedia.org,1,593,4ad864ad6f63412f7e26a37897b726cfc35b7f14207f86d243229faea656ba46
DOC0017,"Búsqueda y recuperación de información - Wikipedia, la enciclopedia libre",Information Retrieval,https://es.wikipedia.org/wiki/B%C3%BAsqueda_y_recuperaci%C3%B3n_de_informaci%C3%B3n,es.wikipedia.org,1,2855,a13fc46d74e40e3527b5de4a9203c758f08e728d6fe007615e90e330b67c76f0
DOC0018,Case Western Reserve University - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Case_Western_Reserve_University,en.wikipedia.org,1,13587,fbbd722936fec41ab31bb6b26e30e5451068e97a5d82ff4233bb38fc97600214
DOC0019,Search engine indexing - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Search_engine_indexing,en.wikipedia.org,1,5109,921b0f0cca92e9835bff91b6c21a69ee6078adf1913685f22ddd417a92bd2593
DOC0020,Taxonomy - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Taxonomy,en.wikipedia.org,1,7972,cad46f578f115b04bd19c78d5a4f8ae6555ec1cdb5c8213daf7c22cc48e05319
DOC0021,Karen Spärck Jones - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Karen_Spärck_Jones,en.wikipedia.org,1,3287,89f977a63c9df8a40ab0c145cb042c286e934356f72da92f3ec78e24428dc3fa
DOC0022,Recommender system - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Recommender_systems,en.wikipedia.org,1,11718,412437acd8e2271728e2c2a5e6bd9ed3f71bbdb12572c7a016f2723d157a1e75
DOC0023,Best NFL Betting Sites 2025 – Top NFL Betting Apps Ranked,Information Retrieval,http://www.lisbdnet.com/information-retrieval-syste,www.lisbdnet.com,1,5364,5926b9a27367383a3508d3d17cdf6e989f01ba172a90e99fc8fab019d74424d3
DOC0024,Probabilistic relevance model - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Probabilistic_relevance_model,en.wikipedia.org,1,620,7a3f5b200d57a8da4bf57da45a8ebbb8619372869e31da37a87f9aeec553575a
DOC0025,"Searching MEDLINE in English: a prototype user interface with natural language query, ranked output, and relevance feedback (Conference) | OSTI.GOV",Information Retrieval,https://www.osti.gov/biblio/5047496,www.osti.gov,1,852,dd131a2262e9780bd97efda745c25c4f23d40ec3519018a94e0c39f4ddd0927f
DOC0026,Library classification - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Library_classification,en.wikipedia.org,1,3191,f57489f62064a112fc3d167f5480f2c777a4bd9526e39e5377990adb522003ec
DOC0027,Feature engineering - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Feature_extraction,en.wikipedia.org,1,3142,2b8f6197301fce967d53406e10b0e7183f46f7fad146e594c9c9d3cdef006eff
DOC0028,Bayes' theorem - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Bayes'_theorem,en.wikipedia.org,1,7375,3a4746233c4c1e3a8dac6371454762e3f21132ee94620e600ee65eda18917033
DOC0029,Joseph Marie Jacquard - Wikipedia,Information Retrieval,https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard,en.wikipedia.org,1,3155,7ffc9a7bc92c2bafad5bdc8d765d59cdc2f97add83f67a4bcc067d95a56d44de
